anh,nhom,rong,cao,so_bien,bien,loai_xe,kieu_dang,vong_1_ms,vong_2_ms,vong_3_ms,vong_4_ms,vong_5_ms,trung_vi_ms
carlong_0725.png,o_to,380,285,1,51F-212.55,car,GamCao,543.0,537.4,539.1,554.1,566.3,543.0
carlong_0733.png,o_to,380,285,1,29A-239.50,car,GamCao,526.5,523.5,544.6,545.0,556.3,544.6
carlong_0804.png,o_to,380,285,1,51F-155.85,car,Sedan,603.4,554.9,535.9,569.5,566.7,566.7
carlong_0841.png,o_to,380,285,1,51F-278.09,car,GamCao,565.1,540.5,544.5,600.9,595.4,565.1
carlong_0856.png,o_to,380,285,1,51G-513.32,car,,445.3,460.7,456.5,481.1,489.3,460.7
carlong_0870.png,o_to,380,285,1,51F-207.54,car,,449.7,462.0,450.8,459.3,520.5,459.3
carlong_0943.png,o_to,380,285,1,51F-069.48,car,GamCao,532.9,542.1,528.3,549.9,554.1,542.1
carlong_0982.png,o_to,380,285,1,51G-513.32,car,,456.5,457.5,512.8,467.4,499.4,467.4
greenpack_0003.png,xe_may,380,285,1,59L2-063.77,motorbike,,468.1,468.6,462.2,480.9,526.8,468.6
greenpack_0011.png,xe_may,380,285,1,59H1-549.86,motorbike,,483.7,466.1,495.2,479.0,482.6,482.6
greenpack_0186.png,xe_may,380,285,1,71B1-580.70,motorbike,,474.6,463.4,458.8,475.6,476.8,474.6
greenpack_0211.png,xe_may,380,285,1,60FD-1469,motorbike,,480.2,458.3,470.2,481.6,485.9,480.2
greenpack_0231.png,xe_may,380,285,1,54T3-0255,motorbike,,466.5,460.0,462.6,477.5,479.7,466.5
greenpack_0465.png,xe_may,380,285,1,49M7-1975,motorbike,,468.3,461.2,474.1,478.5,488.2,474.1
greenpack_0506.png,xe_may,380,285,1,70B1-551.32,motorbike,,459.6,465.4,466.6,469.6,466.9,466.6
greenpack_0527.png,xe_may,380,285,1,59T1-599.73,motorbike,,455.8,508.9,480.6,488.5,478.9,480.6
greenpack_0627.png,xe_may,380,285,1,59H1-528.50,motorbike,,452.2,479.2,478.6,468.6,501.7,478.6
greenpack_0678.png,xe_may,380,285,1,77H6-2229,motorbike,,472.0,473.1,454.7,481.5,476.3,473.1
greenpack_0727.png,xe_may,380,285,1,77L1-008.95,motorbike,,458.3,460.1,462.9,474.9,480.2,462.9
greenpack_0744.png,xe_may,380,285,1,71B1-113.45,motorbike,,461.8,477.3,463.3,559.9,502.3,477.3
greenpack_0782.png,xe_may,380,285,1,59Z1-206.81,motorbike,,479.0,462.1,469.1,482.2,490.6,479.0
greenpack_0825.png,xe_may,380,285,1,59U1-932.21,motorbike,,460.8,466.7,456.0,470.6,488.4,466.7
greenpack_0903.png,xe_may,380,285,1,59M1-077.90,motorbike,,463.8,465.3,466.6,458.4,521.2,465.3
greenpack_0924.png,xe_may,380,285,1,52F7-3840,motorbike,,447.3,458.5,466.6,482.1,469.3,466.6
greenpack_0991.png,xe_may,380,285,1,59M1-902.08,motorbike,,504.0,450.9,473.8,476.5,497.1,476.5
greenpack_1029.png,xe_may,380,285,1,51V2-3974,motorbike,,468.7,467.1,491.1,465.6,485.7,468.7
greenpack_1203.png,xe_may,380,285,1,59F1-322.10,motorbike,,471.4,457.7,490.0,486.6,483.1,483.1
greenpack_1255.png,xe_may,380,285,1,59U1-729.79,motorbike,,471.2,455.0,473.4,470.5,479.1,471.2
greenpack_1408.png,xe_may,380,285,1,54U3-9055,motorbike,,447.5,458.8,491.8,476.5,502.8,476.5
greenpack_1422.png,xe_may,380,285,1,59U1-769.47,motorbike,,452.6,451.6,514.0,501.0,507.0,501.0
greenpack_1561.png,xe_may,380,285,1,51H4-2822,motorbike,,455.6,459.9,468.4,475.0,520.9,468.4
greenpack_1624.png,xe_may,380,285,1,59V2-144.65,motorbike,,466.0,451.4,471.4,481.6,501.7,471.4
greenpack_1723.png,xe_may,380,285,1,66S7-2239,motorbike,,481.4,461.5,470.6,472.4,488.7,472.4
