timestamp,cpu_pct,ram_used_gb,ram_total_gb,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb
2026-08-14T15:37:28,79.8,31.08,68.48,0.0,2505.0,12282.0
2026-08-14T15:37:33,17.4,31.24,68.48,65.0,2505.0,12282.0
2026-08-14T15:37:38,100.0,31.34,68.48,39.0,2505.0,12282.0
2026-08-14T15:37:43,30.9,30.74,68.48,2.0,2431.0,12282.0
2026-08-14T15:37:48,66.2,31.27,68.48,34.0,2472.0,12282.0
2026-08-14T15:37:53,72.5,31.01,68.48,0.0,2472.0,12282.0
2026-08-14T15:37:58,27.5,31.2,68.48,35.0,2477.0,12282.0
2026-08-14T15:38:03,100.0,31.25,68.48,40.0,2472.0,12282.0
2026-08-14T15:38:08,25.0,30.68,68.48,1.0,2472.0,12282.0
2026-08-14T15:38:13,73.5,31.23,68.48,35.0,2472.0,12282.0
2026-08-14T15:38:18,67.0,31.13,68.48,0.0,2472.0,12282.0
2026-08-14T15:38:23,33.1,31.2,68.48,31.0,2471.0,12282.0
2026-08-14T15:38:28,100.0,31.23,68.48,31.0,2471.0,12282.0
2026-08-14T15:38:33,15.5,30.96,68.48,0.0,2471.0,12282.0
2026-08-14T15:38:38,81.0,31.21,68.48,44.0,2471.0,12282.0
2026-08-14T15:38:43,60.7,30.26,68.48,0.0,2471.0,12282.0
2026-08-14T15:38:48,38.7,31.21,68.48,36.0,2471.0,12282.0
2026-08-14T15:38:53,95.9,31.07,68.48,13.0,2471.0,12282.0
2026-08-14T15:38:59,11.4,31.04,68.48,0.0,2476.0,12282.0
2026-08-14T15:39:04,86.8,31.26,68.48,34.0,2471.0,12282.0
2026-08-14T15:39:09,52.6,30.36,68.48,0.0,2471.0,12282.0
2026-08-14T15:39:14,46.7,31.22,68.48,40.0,2471.0,12282.0
2026-08-14T15:39:19,90.0,30.36,68.48,0.0,2471.0,12282.0
2026-08-14T15:39:24,12.0,31.06,68.48,0.0,2476.0,12282.0
2026-08-14T15:39:29,93.8,31.22,68.48,36.0,2471.0,12282.0
2026-08-14T15:39:34,46.6,30.17,68.48,1.0,2471.0,12282.0
2026-08-14T15:39:39,54.4,30.8,68.48,40.0,2471.0,12282.0
2026-08-14T15:39:44,83.3,30.52,68.48,0.0,2471.0,12282.0
2026-08-14T15:39:49,13.2,30.71,68.48,58.0,2471.0,12282.0
2026-08-14T15:39:54,99.5,30.82,68.48,36.0,2471.0,12282.0
2026-08-14T15:39:59,36.9,30.23,68.48,0.0,2471.0,12282.0
2026-08-14T15:40:04,61.8,30.8,68.48,40.0,2471.0,12282.0
2026-08-14T15:40:09,76.4,30.62,68.48,0.0,2471.0,12282.0
2026-08-14T15:40:14,20.0,30.76,68.48,37.0,2471.0,12282.0
2026-08-14T15:40:19,100.0,30.8,68.48,37.0,2471.0,12282.0
2026-08-14T15:40:24,27.7,30.28,68.48,0.0,2471.0,12282.0
2026-08-14T15:40:29,70.0,30.82,68.48,34.0,2471.0,12282.0
2026-08-14T15:40:34,69.2,30.65,68.48,0.0,2471.0,12282.0
2026-08-14T15:40:39,28.6,30.79,68.48,34.0,2471.0,12282.0
2026-08-14T15:40:44,100.0,30.86,68.48,44.0,2471.0,12282.0
2026-08-14T15:40:49,20.2,30.38,68.48,0.0,2471.0,12282.0
2026-08-14T15:40:55,76.6,30.83,68.48,41.0,2471.0,12282.0
2026-08-14T15:41:00,66.1,30.79,68.48,32.0,2476.0,12282.0
2026-08-14T15:41:05,34.6,30.86,68.48,38.0,2471.0,12282.0
2026-08-14T15:41:10,99.6,30.89,68.48,43.0,2471.0,12282.0
2026-08-14T15:41:15,11.8,30.74,68.48,0.0,2471.0,12282.0
2026-08-14T15:41:20,83.4,30.93,68.48,38.0,2471.0,12282.0
2026-08-14T15:41:25,59.6,30.0,68.48,0.0,2471.0,12282.0
2026-08-14T15:41:30,45.8,28.64,68.48,2.0,1813.0,12282.0
2026-08-14T15:41:35,5.7,28.66,68.48,2.0,1816.0,12282.0
2026-08-14T15:41:40,2.4,28.65,68.48,3.0,1810.0,12282.0
2026-08-14T15:41:45,3.3,28.62,68.48,2.0,1809.0,12282.0
2026-08-14T15:41:50,5.4,28.63,68.48,2.0,1809.0,12282.0
2026-08-14T15:41:55,2.7,28.61,68.48,3.0,1808.0,12282.0
2026-08-14T15:42:00,3.1,28.62,68.48,2.0,1808.0,12282.0
