timestamp,cpu_pct,ram_used_gb,ram_total_gb,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb
2026-08-07T23:19:56,8.9,31.36,68.48,5.0,3574.0,12282.0
2026-08-07T23:20:01,19.3,30.66,68.48,26.0,3583.0,12282.0
2026-08-07T23:20:06,31.3,31.41,68.48,4.0,3585.0,12282.0
2026-08-07T23:20:11,10.5,31.86,68.48,28.0,3587.0,12282.0
2026-08-07T23:20:17,15.8,31.81,68.48,29.0,3588.0,12282.0
2026-08-07T23:20:22,11.4,31.15,68.48,3.0,3611.0,12282.0
2026-08-07T23:20:27,9.0,31.76,68.48,21.0,3610.0,12282.0
2026-08-07T23:20:32,9.0,31.54,68.48,5.0,3613.0,12282.0
2026-08-07T23:20:37,11.0,31.78,68.48,25.0,3602.0,12282.0
2026-08-07T23:20:42,19.0,31.57,68.48,40.0,3596.0,12282.0
2026-08-07T23:20:47,10.0,30.99,68.48,2.0,3596.0,12282.0
2026-08-07T23:20:52,9.1,31.6,68.48,21.0,3596.0,12282.0
2026-08-07T23:20:57,7.9,31.32,68.48,6.0,3601.0,12282.0
2026-08-07T23:21:02,12.6,31.54,68.48,39.0,3599.0,12282.0
2026-08-07T23:21:07,14.3,31.58,68.48,41.0,3599.0,12282.0
2026-08-07T23:21:12,9.1,31.13,68.48,4.0,3597.0,12282.0
2026-08-07T23:21:17,9.0,30.52,68.48,1.0,3597.0,12282.0
2026-08-07T23:21:22,7.7,31.36,68.48,7.0,3603.0,12282.0
2026-08-07T23:21:27,11.9,31.52,68.48,30.0,3598.0,12282.0
2026-08-07T23:21:32,14.5,31.54,68.48,34.0,3598.0,12282.0
2026-08-07T23:21:37,7.9,31.29,68.48,4.0,3598.0,12282.0
2026-08-07T23:21:42,9.6,30.8,68.48,2.0,3606.0,12282.0
2026-08-07T23:21:47,8.8,31.43,68.48,6.0,3599.0,12282.0
2026-08-07T23:21:52,13.7,31.49,68.48,27.0,3597.0,12282.0
2026-08-07T23:21:57,15.3,30.18,68.48,1.0,3597.0,12282.0
2026-08-07T23:22:02,14.4,31.17,68.48,6.0,3597.0,12282.0
2026-08-07T23:22:07,13.8,31.08,68.48,4.0,3616.0,12282.0
2026-08-07T23:22:12,8.0,31.66,68.48,6.0,3612.0,12282.0
2026-08-07T23:22:18,14.0,31.56,68.48,39.0,3600.0,12282.0
2026-08-07T23:22:23,12.9,30.78,68.48,1.0,3600.0,12282.0
2026-08-07T23:22:28,6.8,31.4,68.48,6.0,3600.0,12282.0
2026-08-07T23:22:33,8.9,30.92,68.48,2.0,3602.0,12282.0
2026-08-07T23:22:38,8.0,31.4,68.48,28.0,3600.0,12282.0
2026-08-07T23:22:43,14.4,31.39,68.48,35.0,3600.0,12282.0
2026-08-07T23:22:48,11.1,30.75,68.48,2.0,3600.0,12282.0
2026-08-07T23:22:53,14.9,31.81,68.48,30.0,3598.0,12282.0
2026-08-07T23:22:58,9.1,31.48,68.48,4.0,3602.0,12282.0
2026-08-07T23:23:03,11.2,31.74,68.48,27.0,3600.0,12282.0
2026-08-07T23:23:08,14.8,31.77,68.48,31.0,3600.0,12282.0
2026-08-07T23:23:13,9.2,31.15,68.48,3.0,3598.0,12282.0
2026-08-07T23:23:18,10.6,31.55,68.48,7.0,3598.0,12282.0
2026-08-07T23:23:23,9.7,31.47,68.48,6.0,3602.0,12282.0
2026-08-07T23:23:28,12.3,31.66,68.48,38.0,3600.0,12282.0
2026-08-07T23:23:33,14.0,31.67,68.48,38.0,3600.0,12282.0
2026-08-07T23:23:38,8.5,31.4,68.48,5.0,3598.0,12282.0
2026-08-07T23:23:43,10.6,30.9,68.48,2.0,3598.0,12282.0
2026-08-07T23:23:48,11.5,31.62,68.48,6.0,3602.0,12282.0
