thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T13:23:24.397,1789280604.397,,1.5672,51.2,1500,0.0,0x0,0.00312,0.21861,0.20747,0.30942,0.00241,0.00141,0.17380,0.18795,0.03243,0.00059,0.06868,0.36127
2026-09-13T13:23:25.423,1789280605.424,,1.6217,52.4,1500,0.0,0x0,0.00312,0.27404,0.20552,0.30571,0.00362,0.00242,0.16723,0.20220,0.02513,0.00000,0.07110,0.36166
2026-09-13T13:23:26.449,1789280606.450,,1.4391,51.8,1500,0.0,0x0,0.00312,0.21811,0.20566,0.30421,0.00282,0.00242,0.17054,0.05439,0.03884,0.00000,0.07118,0.36783
2026-09-13T13:23:27.476,1789280607.476,,1.6116,51.8,1500,0.0,0x0,0.00297,0.21773,0.20431,0.30073,0.00282,0.00222,0.20260,0.20628,0.03874,0.00000,0.07105,0.36218
2026-09-13T13:23:28.502,1789280608.502,,1.5683,52.4,1500,0.2,0x0,0.00331,0.21851,0.21750,0.30638,0.00282,0.00222,0.15454,0.19904,0.03185,0.00000,0.07110,0.36101
2026-09-13T13:23:29.528,1789280609.529,,1.4260,51.8,1500,0.2,0x0,0.00297,0.21871,0.20458,0.30186,0.00242,0.00242,0.17025,0.04709,0.04085,0.00000,0.07307,0.36179
2026-09-13T13:23:30.554,1789280610.555,,1.3713,51.8,1500,0.0,0x0,0.00297,0.21851,0.20477,0.30942,0.00282,0.00222,0.16443,0.00000,0.03556,0.00000,0.06930,0.36127
2026-09-13T13:23:31.581,1789280611.581,,1.6065,52.4,1500,0.0,0x0,0.00302,0.21763,0.20370,0.36615,0.00282,0.00222,0.34516,0.00000,0.04001,0.00000,0.07114,0.35471
2026-09-13T13:23:32.607,1789280612.607,,1.5445,52.4,1500,0.0,0x0,0.00312,0.21733,0.20303,0.30073,0.00181,0.00242,0.17087,0.17759,0.03549,0.00000,0.07110,0.36101
2026-09-13T13:23:33.633,1789280613.634,,1.6815,51.2,1500,0.0,0x0,0.00302,0.21851,0.28651,0.31384,0.00322,0.00242,0.18652,0.18415,0.05290,0.00000,0.06916,0.36127
2026-09-13T13:23:34.659,1789280614.660,,1.4143,52.4,1500,0.0,0x0,0.00312,0.21480,0.20584,0.30247,0.00282,0.00242,0.16415,0.04714,0.03880,0.00000,0.07114,0.36166
2026-09-13T13:23:35.685,1789280615.686,,1.4263,51.2,1500,0.2,0x0,0.00316,0.21705,0.20733,0.30852,0.00282,0.00242,0.17039,0.05060,0.03335,0.00000,0.06938,0.36127
2026-09-13T13:23:36.712,1789280616.712,,1.4404,51.8,1500,0.0,0x0,0.00302,0.21383,0.20465,0.31030,0.00242,0.00222,0.18009,0.05063,0.04203,0.00029,0.06928,0.36166
2026-09-13T13:23:37.738,1789280617.738,,1.5734,52.4,1500,0.2,0x0,0.00322,0.21703,0.20390,0.30073,0.00181,0.00222,0.16410,0.20597,0.04205,0.00000,0.07114,0.36127
2026-09-13T13:23:38.764,1789280618.765,,1.5868,52.9,1500,0.0,0x0,0.00312,0.21685,0.21700,0.30421,0.00241,0.00242,0.17054,0.20286,0.03338,0.00000,0.07297,0.36101
2026-09-13T13:23:39.790,1789280619.791,,1.5168,52.4,1500,0.2,0x0,0.00297,0.21627,0.21642,0.30073,0.00241,0.00222,0.26173,0.05434,0.02911,0.00000,0.06930,0.36127
2026-09-13T13:23:40.817,1789280620.817,,1.4288,52.4,1500,0.0,0x0,0.00292,0.27429,0.20444,0.30749,0.00282,0.00242,0.15807,0.00723,0.03671,0.00000,0.07118,0.36127
2026-09-13T13:23:41.843,1789280621.844,,1.4062,51.8,1500,0.0,0x0,0.00297,0.21236,0.20424,0.31038,0.00282,0.00242,0.21225,0.00000,0.02807,0.00000,0.06928,0.36140
2026-09-13T13:23:42.873,1789280622.874,,1.8037,52.9,1500,0.2,0x0,0.00292,0.27860,0.21628,0.31207,0.00282,0.00242,0.19273,0.00000,0.02481,0.00000,0.06984,0.70125
2026-09-13T13:23:43.900,1789280623.900,,1.7194,52.4,1500,0.0,0x0,0.00297,0.21801,0.20552,0.31502,0.00282,0.00222,0.16061,0.04349,0.03897,0.00000,0.06918,0.66061
2026-09-13T13:23:44.926,1789280624.927,,1.8107,52.4,1500,0.2,0x0,0.00297,0.27273,0.20344,0.30937,0.00241,0.00242,0.18320,0.06164,0.03463,0.00000,0.06909,0.66877
2026-09-13T13:23:45.956,1789280625.956,,1.4681,52.4,1500,0.0,0x0,0.00302,0.21715,0.20518,0.31030,0.00322,0.00222,0.21326,0.05424,0.03018,0.00000,0.07500,0.35433
2026-09-13T13:23:46.982,1789280626.983,,1.5011,51.8,1500,0.0,0x0,0.00297,0.21539,0.20889,0.31561,0.00322,0.00222,0.18974,0.09776,0.03444,0.00059,0.06927,0.36101
2026-09-13T13:23:48.008,1789280628.009,,1.5836,51.2,1500,0.0,0x0,0.00312,0.21733,0.20303,0.30971,0.00262,0.00242,0.17356,0.20659,0.02580,0.00029,0.07114,0.36796
2026-09-13T13:23:49.035,1789280629.035,,1.5265,51.2,1500,0.0,0x0,0.00312,0.21705,0.20680,0.30594,0.00241,0.00222,0.16075,0.15923,0.03229,0.00000,0.06868,0.36796
2026-09-13T13:23:50.061,1789280630.061,,1.4775,52.4,1500,0.2,0x0,0.00297,0.21373,0.21736,0.31384,0.00282,0.00242,0.23200,0.01811,0.03443,0.00000,0.07188,0.36796
2026-09-13T13:23:51.087,1789280631.087,,1.3733,50.7,1500,0.0,0x0,0.00297,0.21803,0.20303,0.30413,0.00282,0.00222,0.18014,0.00000,0.02365,0.00000,0.07490,0.36140
2026-09-13T13:23:52.113,1789280632.114,,1.4078,52.4,1500,0.0,0x0,0.00312,0.21821,0.20733,0.30317,0.00242,0.00242,0.18367,0.02175,0.02483,0.00000,0.07250,0.36836
2026-09-13T13:23:53.139,1789280633.140,,1.5703,51.8,1500,0.0,0x0,0.00312,0.22444,0.20504,0.30971,0.00282,0.00242,0.31141,0.04712,0.03655,0.00000,0.07305,0.35458
2026-09-13T13:23:54.166,1789280634.166,,1.5929,52.9,1500,0.2,0x0,0.00297,0.21537,0.21728,0.31325,0.00282,0.00222,0.17025,0.19839,0.03789,0.00000,0.07106,0.36140
2026-09-13T13:23:55.192,1789280635.192,,1.5661,51.8,1500,0.2,0x0,0.00312,0.21510,0.20411,0.29725,0.00241,0.00242,0.18320,0.18757,0.03353,0.00000,0.06927,0.36809
2026-09-13T13:23:56.218,1789280636.218,,1.4578,51.2,1500,0.2,0x0,0.00312,0.21568,0.20767,0.30247,0.00181,0.00242,0.20277,0.05074,0.03979,0.00000,0.06993,0.36140
2026-09-13T13:23:57.244,1789280637.245,,1.5092,50.7,1500,0.0,0x0,0.00312,0.21723,0.20625,0.30073,0.00282,0.00222,0.20582,0.04349,0.04456,0.00000,0.07484,0.40810
2026-09-13T13:23:58.270,1789280638.271,,1.4125,50.7,1500,0.0,0x0,0.00312,0.21665,0.20660,0.30683,0.00282,0.00242,0.16723,0.05070,0.02374,0.00000,0.07125,0.36114
2026-09-13T13:23:59.297,1789280639.297,,1.5664,50.7,1500,0.0,0x0,0.00312,0.21967,0.20660,0.35983,0.00221,0.00221,0.29231,0.00000,0.05271,0.00000,0.07313,0.35458
2026-09-13T13:24:00.323,1789280640.323,,1.3969,51.8,1500,0.2,0x0,0.00297,0.24750,0.20411,0.31148,0.00282,0.00242,0.16718,0.00000,0.03332,0.00118,0.06934,0.35458
2026-09-13T13:24:01.349,1789280641.349,,1.3657,52.4,1500,0.0,0x0,0.00297,0.21655,0.20444,0.29899,0.00282,0.00222,0.17039,0.00724,0.03767,0.00000,0.06805,0.35433
2026-09-13T13:24:02.375,1789280642.376,,1.3805,51.8,1500,0.0,0x0,0.00297,0.21705,0.20673,0.30594,0.00282,0.00222,0.16443,0.00723,0.03879,0.00000,0.07057,0.36179
2026-09-13T13:24:03.401,1789280643.402,,1.5274,51.2,1500,0.0,0x0,0.00307,0.21617,0.21628,0.31022,0.00282,0.00222,0.25749,0.05436,0.03014,0.00030,0.07305,0.36127
2026-09-13T13:24:04.427,1789280644.428,,1.4632,52.4,1500,0.0,0x0,0.00312,0.21392,0.23473,0.30768,0.00241,0.00242,0.18009,0.04709,0.03208,0.00000,0.07157,0.36809
2026-09-13T13:24:05.454,1789280645.454,,1.5769,51.8,1500,0.2,0x0,0.00312,0.21773,0.21542,0.30247,0.00282,0.00242,0.18741,0.19904,0.01725,0.00000,0.06798,0.36127
2026-09-13T13:24:06.480,1789280646.480,,1.5673,51.2,1500,0.0,0x0,0.00312,0.21148,0.20438,0.31038,0.00403,0.00242,0.16770,0.20291,0.03666,0.00000,0.06923,0.35496
2026-09-13T13:24:07.506,1789280647.506,,1.4211,51.2,1500,0.2,0x0,0.00297,0.21577,0.20566,0.30421,0.00282,0.00222,0.16741,0.05424,0.03870,0.00000,0.07242,0.35471
